Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
86,0,0.015075,-0.127808,-1.807463,263.291321,-507.881775,180.796524
87,0,0.015322,-0.127646,-1.807516,263.285339,-507.896057,180.806107
88,0,0.015849,-0.127526,-1.807476,263.268524,-507.915131,180.800323
89,0,0.016298,-0.126973,-1.807704,263.262665,-507.942627,180.791946
90,0,0.016386,-0.126719,-1.807595,263.239777,-507.964447,180.790833
91,0,0.016736,-0.126562,-1.807976,263.228149,-507.992096,180.782822
92,0,0.017025,-0.126882,-1.807136,263.220764,-508.009064,180.788361
93,0,0.017512,-0.126897,-1.807131,263.202759,-508.033875,180.787979
94,0,0.01808,-0.126406,-1.807311,263.197388,-508.05658,180.79068
95,0,0.01842,-0.126618,-1.806833,263.174316,-508.079651,180.789398
96,0,0.018844,-0.12656,-1.807089,263.155579,-508.093658,180.786285
97,0,0.019306,-0.126637,-1.806921,263.134521,-508.115112,180.78598
98,0,0.01915,-0.126175,-1.806954,263.104736,-508.136749,180.777374
99,0,0.019862,-0.126295,-1.806873,263.092834,-508.143127,180.782867
100,0,0.020468,-0.126438,-1.80677,263.067474,-508.153015,180.779205
101,0,0.020349,-0.126261,-1.807069,263.054749,-508.157318,180.786377
102,0,0.020712,-0.12679,-1.806777,263.035126,-508.164093,180.786133
103,0,0.020797,-0.126787,-1.806698,263.021545,-508.164154,180.792267
104,0,0.021287,-0.126629,-1.806912,262.99057,-508.166443,180.775452
105,0,0.021647,-0.126971,-1.807189,262.974457,-508.16095,180.779648
106,0,0.021491,-0.127358,-1.806924,262.968689,-508.150269,180.788986
107,0,0.021437,-0.127855,-1.806664,262.957703,-508.144867,180.788879
108,0,0.021267,-0.12759,-1.806629,262.955292,-508.12973,180.79425
109,0,0.021293,-0.127817,-1.806817,262.956604,-508.118042,180.793442
110,0,0.021282,-0.12792,-1.807275,262.946533,-508.10318,180.795502
111,0,0.021016,-0.127976,-1.80715,262.951965,-508.088348,180.791565
112,0,0.020712,-0.128886,-1.807025,262.952606,-508.063202,180.795609
113,0,0.020502,-0.128635,-1.807082,262.959686,-508.046509,180.799637
114,0,0.020285,-0.12854,-1.807234,262.982849,-508.014618,180.805054
115,0,0.020135,-0.1288,-1.807341,262.98764,-507.999603,180.803787
116,0,0.01949,-0.129433,-1.806938,263.000763,-507.977844,180.80899
117,0,0.019476,-0.129171,-1.807397,263.012115,-507.950531,180.814301
118,0,0.018751,-0.129836,-1.807286,263.025024,-507.931946,180.815933
119,0,0.018143,-0.129773,-1.807397,263.03418,-507.913483,180.820312
120,0,0.017775,-0.129458,-1.807445,263.05307,-507.882172,180.81633
121,0,0.017904,-0.129769,-1.807762,263.061676,-507.860962,180.805725
122,0,0.01736,-0.129859,-1.807147,263.100616,-507.837708,180.818802
123,0,0.016835,-0.130146,-1.807195,263.125763,-507.811951,180.821884
124,0,0.016142,-0.130101,-1.806936,263.150146,-507.80423,180.825851
125,0,0.015889,-0.129568,-1.807344,263.159393,-507.784607,180.818573
126,0,0.015633,-0.130154,-1.807145,263.182159,-507.774353,180.821426
127,0,0.0155,-0.129475,-1.807736,263.202515,-507.761169,180.824097
128,0,0.01531,-0.129829,-1.807295,263.221802,-507.754089,180.817062
129,0,0.014671,-0.129425,-1.807216,263.238525,-507.755707,180.813019
130,0,0.014486,-0.129535,-1.807158,263.254883,-507.749573,180.815857
131,0,0.013963,-0.129528,-1.807272,263.256134,-507.76059,180.81723
132,0,0.013741,-0.129212,-1.807096,263.258179,-507.774353,180.802338
133,0,0.013806,-0.128804,-1.80707,263.2677,-507.784851,180.802979
134,0,0.013963,-0.129334,-1.807024,263.282135,-507.789978,180.809265
135,0,0.014033,-0.128939,-1.806788,263.29538,-507.802002,180.810745
136,0,0.014304,-0.128209,-1.807443,263.287598,-507.814575,180.796631
137,0,0.014571,-0.128318,-1.807466,263.280457,-507.83963,180.800766
138,0,0.014969,-0.128064,-1.807395,263.280151,-507.857391,180.794937
139,0,0.015012,-0.127977,-1.806955,263.276184,-507.883667,180.79631
140,0,0.01534,-0.127336,-1.807237,263.259735,-507.891357,180.785385
141,0,0.01577,-0.127335,-1.807187,263.246796,-507.91745,180.781311
142,0,0.016252,-0.127243,-1.807182,263.242523,-507.939148,180.786423
143,0,0.016124,-0.126714,-1.807394,263.22876,-507.968262,180.782486
144,0,0.01659,-0.127136,-1.807059,263.217499,-507.999237,180.791672
